N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
132,DL이앤씨,"132,000","1,000",+0.76%,"5,000","25,554","19,359",27.02,"34,243",N/A,N/A,
133,BNK금융지주,"7,840",60,+0.77%,"5,000","25,553","325,935",38.52,"273,584",4.45,6.11,
134,더존비즈온,"82,300",300,+0.37%,500,"24,970","30,341",39.30,"10,228",40.11,15.09,
135,효성,"117,500","2,000",+1.73%,"5,000","24,758","21,071",9.27,"18,604",87.82,-2.26,
136,한화에어로스페이스,"48,350",400,+0.83%,"5,000","24,480","50,630",19.51,"81,220",9.35,4.78,
137,현대위아,"87,800",0,0.00%,"5,000","23,877","27,195",8.22,"70,195",23.49,1.96,
138,현대차우,"97,900","1,100",-1.11%,"5,000","23,845","24,357",58.81,"8,313",7.09,N/A,
139,현대해상,"25,750",350,-1.34%,500,"23,020","89,400",27.73,"180,662",6.22,7.13,
140,하이트진로,"32,400",250,-0.77%,"5,000","22,723","70,134",5.31,"89,323",32.43,8.23,
141,TIGER 200,"40,910",215,-0.52%,0,"22,541","55,100",0.00,"93,705",N/A,N/A,
142,코오롱인더,"81,600","5,100",+6.67%,"5,000","22,015","26,979",21.30,"323,434",16.34,9.70,
143,LS,"66,300","1,000",+1.53%,"5,000","21,349","32,200",14.66,"30,643",8.60,3.94,
144,대한전선,"2,425",30,-1.22%,500,"20,769","856,473",2.47,"2,446,805",-127.63,0.92,
145,현대엘리베이,"50,500",200,+0.40%,"5,000","20,612","40,815",27.87,"52,066",18.42,9.78,
146,대웅,"35,000",0,0.00%,500,"20,350","58,142",3.93,"23,958",21.65,15.10,
147,KODEX 단기채권,"102,855",5,0.00%,0,"19,933","19,380",0.00,"1,808",N/A,N/A,
148,KODEX 200선물인버스2X,"2,105",15,+0.72%,0,"19,863","943,600",4.29,"62,173,814",N/A,N/A,
149,LS ELECTRIC,"65,900","1,300",+2.01%,"5,000","19,770","30,000",17.06,"50,281",21.55,6.15,
150,프레스티지바이오파마,"32,100",100,-0.31%,0,"19,291","60,096",63.98,"116,304",-95.54,N/A,
151,TIGER 차이나전기차SOLACTIVE,"17,640",45,-0.25%,0,"19,157","108,600",2.35,"566,992",N/A,N/A,
152,오뚜기,"518,000",0,0.00%,"5,000","19,021","3,672",12.65,516,19.64,7.93,
153,대웅제약,"163,000",500,+0.31%,"2,500","18,886","11,587",6.99,"24,503",636.72,2.38,
154,HDC현대산업개발,"28,400",50,-0.18%,"5,000","18,718","65,907",11.18,"69,449",10.14,8.85,
155,현대백화점,"79,800",200,+0.25%,"5,000","18,675","23,402",19.17,"22,424",14.42,1.65,
156,동국제강,"19,500",400,-2.01%,"5,000","18,609","95,433",23.49,"298,637",8.84,3.35,
157,롯데렌탈,"50,400",700,-1.37%,"5,000","18,464","36,634",1.70,"151,067",25.73,6.73,
158,영원무역,"41,450",200,+0.48%,500,"18,367","44,311",27.80,"35,550",9.80,8.03,
159,농심,"299,000","1,500",+0.50%,"5,000","18,187","6,083",14.17,"3,182",16.42,7.50,
160,솔루스첨단소재,"58,600","1,100",-1.84%,100,"17,926","30,590",8.11,"153,912",-161.88,-5.10,
161,롯데정밀화학,"69,200","1,200",+1.76%,"5,000","17,854","25,800",19.60,"60,048",7.28,12.65,
162,한전기술,"45,550",50,+0.11%,200,"17,409","38,220",2.83,"53,792",84.20,N/A,
163,PI첨단소재,"58,500",300,+0.52%,500,"17,179","29,366",18.27,"37,878",31.47,15.62,
164,KODEX 삼성그룹,"10,325",10,-0.10%,0,"17,150","166,100",0.03,"16,905",N/A,N/A,
165,금호타이어,"5,940",50,-0.83%,"5,000","17,063","287,260",4.36,"91,149",80.27,-6.74,
